UID,Friends,Followee,Like Records,Groups
10,"[1, 2, 3, 4, 6, 7, 8, 7, 13, 61, 44, 83, 60, 91, 33, 89, 36, 57, 26, 96, 25, 30, 17, 48, 0, 63, 71, 15, 80, 12, 15, 16, 20, 21, 22, 23, 25, 27, 29, 31, 32, 35, 36, 38, 40, 44, 46, 47, 50, 51, 53, 54, 55, 57, 58, 59, 60, 63, 65, 66, 68, 69, 71, 73, 74, 75, 77, 78, 80, 82, 83, 86, 97, 99]","[29, 37, 59, 32, 77, 15, 12, 5, 20, 76, 3, 7, 24, 57, 55, 26, 18, 49, 90, 4, 25, 35, 75, 0, 87, 46, 17, 42, 63, 13, 34, 71, 64, 96, 97, 43, 51, 68, 53, 74, 52, 44, 31, 6, 86, 19, 50, 21, 9, 62, 79, 8, 14, 41, 40, 60, 11, 22, 98, 10, 28, 2, 72, 73, 47, 69]","['(14,78)', '(45,59)', '(33,95)', '(46,72)', '(22,1)', '(81,16)', '(38,22)', '(92,61)', '(74,71)', '(50,5)', '(20,73)', '(58,8)', '(18,71)', '(21,40)', '(49,60)', '(29,37)', '(31,90)', '(74,62)', '(46,87)', '(7,63)', '(22,89)', '(22,77)', '(54,18)', '(96,5)', '(32,66)', '(6,82)', '(61,77)', '(81,79)', '(53,40)', '(96,6)', '(34,8)', '(85,38)', '(55,69)', '(16,86)', '(84,54)', '(33,84)', '(21,71)', '(65,50)', '(28,90)', '(72,41)', '(63,41)', '(81,27)', '(52,65)', '(50,80)', '(63,100)', '(55,13)', '(42,28)', '(76,22)', '(66,38)', '(69,5)', '(24,65)', '(10,64)', '(22,82)', '(5,26)', '(51,65)', '(4,47)', '(20,94)', '(98,86)', '(66,23)']","[0, 0, 1, 1, 1]"
11,"[1, 3, 5, 6, 8, 22, 85, 35, 69, 32, 75, 42, 43, 40, 4, 50, 89, 19, 54, 5, 95, 56, 63, 15, 74, 49, 15, 19, 23, 25, 26, 27, 28, 32, 35, 36, 40, 45, 46, 47, 51, 53, 55, 57, 58, 59, 60, 61, 64, 65, 68, 71, 72, 73, 76, 79, 80, 82, 84, 87, 93, 95, 97, 99]","[92, 10, 62, 26, 90, 37, 97, 5, 70, 38, 75, 35, 0, 41, 54, 76, 24, 29, 25, 9, 55, 47, 8, 43, 39, 2, 3, 50, 87, 40, 77, 45, 6, 98, 7, 81, 4, 63, 21, 44, 69, 57, 11, 84, 58, 18, 56, 30, 82, 28, 31, 53, 71, 19, 96, 23, 89, 60, 52, 14, 17, 34, 80, 61, 48, 85, 59, 36, 88, 20, 33, 91, 68, 83, 16, 27, 65, 42, 12, 32, 78, 67, 72, 1]","['(51,44)', '(46,15)', '(94,90)', '(78,76)', '(74,11)', '(22,58)', '(27,66)', '(68,69)', '(52,28)', '(79,20)', '(69,57)', '(2,17)', '(55,48)', '(69,71)', '(54,28)', '(21,5)', '(67,27)', '(0,26)', '(34,85)', '(33,23)', '(42,71)', '(93,8)', '(43,27)', '(77,77)', '(95,49)', '(43,47)', '(27,86)', '(78,54)', '(31,99)', '(73,30)', '(28,95)', '(0,75)', '(11,12)', '(30,84)', '(76,89)', '(1,45)', '(100,75)', '(54,65)', '(26,3)', '(16,43)', '(72,21)', '(30,44)', '(45,88)', '(36,84)']","[0, 0, 1, 1, 1]"
12,"[3, 5, 8, 98, 53, 18, 89, 64, 79, 13, 88, 17, 48, 32, 1, 52, 71, 54, 73, 58, 36, 28, 34, 2, 93, 31, 16, 10, 96, 25, 57, 15, 19, 22, 23, 25, 26, 27, 30, 32, 34, 35, 36, 37, 39, 40, 47, 54, 55, 56, 57, 58, 59, 60, 61, 64, 68, 71, 72, 73, 74, 75, 78, 80, 82, 83, 84, 85, 87, 89, 90, 91, 93, 95, 97, 98, 99]","[68, 87, 50, 15, 49, 41, 71, 28, 17, 52, 96, 35, 98, 61, 76, 63, 29, 33, 48, 83, 84]","['(46,89)', '(70,32)', '(50,56)', '(96,19)', '(92,4)', '(57,46)', '(21,1)', '(61,32)', '(0,12)', '(21,38)', '(43,98)', '(73,48)', '(58,99)', '(40,14)', '(59,28)', '(54,9)', '(15,48)', '(23,34)', '(58,97)', '(84,91)', '(41,95)', '(37,21)', '(54,74)', '(84,59)', '(18,16)', '(1,34)', '(100,73)', '(75,61)', '(68,36)', '(80,40)', '(79,65)', '(84,4)', '(33,84)', '(12,90)', '(2,3)', '(98,84)', '(72,31)', '(99,87)', '(39,41)', '(55,16)', '(9,39)', '(24,28)', '(49,54)', '(81,14)', '(43,35)', '(54,76)', '(17,14)', '(76,22)', '(15,80)', '(24,58)', '(95,98)', '(91,63)', '(38,93)', '(41,94)', '(77,46)', '(73,71)', '(97,56)', '(20,41)', '(34,69)', '(8,75)', '(35,71)', '(97,5)', '(35,92)', '(11,69)', '(34,31)', '(57,45)', '(23,58)', '(10,74)', '(96,51)', '(28,91)', '(65,58)', '(1,40)', '(16,93)', '(48,50)', '(91,85)']","[1, 0, 1, 0, 1]"
13,"[0, 3, 4, 6, 10, 12, 79, 61, 52, 13, 13, 90, 85, 95, 43, 23, 47, 54, 83, 72, 15, 19, 23, 25, 26, 27, 31, 32, 34, 35, 36, 39, 45, 47, 48, 51, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 68, 71, 72, 75, 78, 80, 82, 85, 88, 95, 98, 99]","[29, 97, 83, 34, 19, 33, 41]","['(89,59)', '(73,69)', '(74,47)', '(10,6)', '(6,23)', '(31,28)', '(81,45)', '(17,48)', '(8,76)', '(99,51)', '(62,4)', '(15,2)', '(66,76)', '(73,56)', '(81,77)', '(89,7)', '(86,28)', '(52,10)', '(93,86)', '(34,56)', '(61,39)', '(95,18)', '(81,67)', '(8,69)', '(56,62)', '(6,67)', '(33,52)', '(5,7)', '(80,32)', '(1,28)', '(21,13)', '(71,91)', '(62,63)', '(56,90)', '(68,44)', '(83,50)', '(25,39)', '(11,6)', '(2,44)', '(66,94)', '(55,20)', '(93,70)', '(53,79)', '(53,30)', '(68,43)', '(16,27)', '(67,2)', '(68,0)', '(75,31)', '(7,69)', '(3,82)', '(81,23)', '(21,95)', '(24,55)', '(75,38)', '(82,10)', '(19,61)', '(67,30)', '(85,98)', '(55,2)', '(62,90)', '(56,43)', '(49,71)', '(22,39)', '(31,80)', '(69,48)', '(9,68)', '(100,49)', '(20,73)', '(63,51)', '(1,91)', '(74,99)', '(62,89)', '(51,76)', '(100,38)', '(34,85)', '(44,11)', '(34,32)', '(23,0)', '(88,80)', '(61,69)', '(27,49)', '(28,92)', '(63,2)', '(82,13)', '(38,93)', '(63,5)', '(47,71)', '(26,35)', '(10,42)', '(49,78)', '(61,28)', '(85,60)']","[1, 1, 1, 0, 0]"
14,"[1, 3, 5, 6, 8, 40, 14, 14, 38, 55, 6, 9, 81, 25, 16, 95, 68, 50, 23, 49, 46, 89, 21, 60, 27, 56, 65, 15, 88, 79, 63, 8, 62, 93, 18, 42, 29, 51, 69, 57, 58, 73, 76, 24, 94, 61, 17, 86, 67, 98, 1, 99, 31, 84, 45, 22, 78, 43, 87, 15, 18, 19, 22, 23, 25, 27, 28, 31, 32, 33, 36, 39, 40, 43, 45, 47, 51, 54, 55, 56, 57, 59, 60, 64, 65, 66, 67, 68, 71, 72, 74, 76, 78, 82, 85, 86, 88, 90, 93, 95, 97, 98, 99]","[5, 18, 40, 49, 77, 24, 27, 78, 10, 44, 31, 55, 54, 96, 16, 43, 82, 48, 81, 60, 88, 87, 47, 74, 1, 59, 39, 7, 4, 70, 41, 84, 95, 68, 29, 76, 69, 83, 73, 22, 99, 13, 6, 37, 92, 28, 98, 50, 12, 14, 15, 90, 67, 30, 66, 71, 20, 11, 62, 45, 0, 91, 80, 97, 58, 42, 9, 65, 51, 64]","['(44,81)', '(21,72)', '(45,13)', '(3,8)', '(12,41)', '(29,24)', '(79,83)', '(66,53)', '(8,87)', '(71,83)', '(51,66)', '(25,18)', '(66,59)', '(35,88)', '(41,92)', '(62,74)', '(76,13)', '(67,17)', '(32,25)', '(84,59)', '(91,90)', '(14,14)', '(37,71)', '(10,99)', '(37,67)', '(80,99)', '(52,75)', '(41,66)', '(57,68)', '(74,63)', '(12,71)', '(92,1)', '(99,4)', '(14,91)', '(75,53)', '(9,92)', '(31,40)', '(43,14)', '(38,58)', '(60,79)', '(45,46)', '(31,30)', '(69,23)', '(74,72)', '(32,75)', '(22,88)', '(56,19)', '(67,29)', '(49,0)', '(88,16)', '(86,83)', '(41,77)', '(95,17)', '(57,64)', '(17,31)', '(55,5)', '(74,66)', '(62,15)', '(44,23)', '(68,69)']","[1, 1, 0, 1, 0]"
15,"[1, 3, 5, 7, 8, 10, 11, 14, 12, 13, 59, 96, 81, 88, 85, 49, 51, 19, 73, 16, 82, 9, 14, 46, 94, 92, 97, 83, 86, 99, 25, 17, 95, 37, 48, 64, 22, 4, 32, 21, 57, 8, 55, 47, 1, 68, 61, 91, 29, 98, 30, 5, 20, 3, 10, 43, 66, 23, 24, 28, 76, 38, 33, 18, 39, 2, 0, 53, 62, 7, 80, 71, 31, 35, 72, 74, 26, 6, 60, 65, 69, 87, 89, 54, 44, 75, 77, 56, 63, 84, 11, 58, 21, 23, 25, 27, 28, 29, 31, 32, 36, 39, 40, 43, 47, 51, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 71, 74, 75, 80, 82, 85, 87, 91, 93, 99]","[72, 82, 54, 11, 19, 62, 45, 38, 12, 22, 47, 59, 41, 25, 39, 65, 16, 6, 80, 73, 23, 50, 91, 78, 26, 63, 34, 17, 3, 76, 57, 93, 87, 86, 99, 27, 1, 28]","['(20,90)', '(57,17)', '(52,70)', '(68,17)', '(15,73)', '(40,97)', '(67,61)', '(69,65)', '(84,27)', '(81,10)', '(59,46)', '(45,84)', '(71,85)', '(69,85)', '(82,17)', '(47,85)', '(43,69)', '(47,91)', '(61,53)', '(52,94)', '(63,53)', '(87,13)', '(44,65)', '(29,32)', '(82,47)', '(49,26)', '(6,88)', '(32,97)', '(47,50)', '(22,42)', '(16,52)', '(100,21)', '(79,67)', '(2,64)', '(89,78)', '(40,50)', '(25,45)', '(18,51)', '(89,32)', '(13,28)', '(68,78)', '(70,57)', '(99,56)', '(38,52)', '(11,4)', '(65,91)', '(51,52)', '(52,49)', '(83,33)', '(27,77)', '(5,75)']","[1, 0, 1, 1, 1]"
16,"[0, 3, 5, 8, 9, 12, 14, 15, 59, 36, 38, 61, 84, 0, 48, 52, 53, 19, 8, 22, 76, 44, 10, 71, 16, 16, 87, 2, 89, 97, 62, 67, 39, 18, 57, 17, 46, 58, 18, 22, 23, 25, 27, 31, 32, 36, 39, 40, 43, 46, 47, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 68, 71, 72, 74, 75, 77, 80, 81, 82, 86, 90, 91, 95, 97, 99]","[12, 75, 28, 42, 23, 36, 3, 85, 6, 68, 22, 57, 7, 37, 61, 86, 83, 76, 25, 97, 43, 21, 38, 60, 90, 39, 73, 15]","['(36,26)', '(70,11)', '(91,37)', '(82,48)', '(86,72)', '(32,77)', '(51,27)', '(77,47)', '(28,69)', '(46,83)', '(58,90)', '(43,11)', '(47,81)', '(38,99)', '(75,20)', '(94,34)', '(25,70)', '(34,97)', '(96,69)', '(0,67)', '(15,29)', '(67,31)', '(32,31)', '(16,35)', '(18,58)', '(45,18)', '(11,20)', '(45,90)', '(15,64)', '(11,18)', '(58,19)', '(98,47)', '(21,29)', '(91,31)', '(78,42)', '(81,45)', '(49,24)', '(53,12)', '(60,55)', '(84,30)', '(65,59)', '(9,40)', '(80,20)', '(99,57)', '(78,20)', '(86,9)', '(71,95)', '(42,63)', '(16,26)', '(74,12)', '(83,5)', '(17,72)', '(95,84)', '(62,67)', '(23,79)', '(75,48)', '(63,97)', '(63,9)', '(5,98)', '(22,88)', '(13,19)', '(68,64)', '(27,48)', '(62,21)', '(48,41)', '(11,96)', '(95,28)', '(76,33)', '(22,82)', '(93,43)', '(16,43)', '(0,99)', '(81,68)', '(70,26)', '(3,77)', '(33,98)']","[1, 0, 1, 0, 0]"
17,"[1, 3, 5, 6, 9, 10, 12, 14, 15, 16, 77, 94, 72, 98, 75, 41, 89, 18, 19, 23, 25, 27, 29, 32, 33, 36, 39, 45, 46, 47, 51, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 67, 68, 71, 74, 76, 77, 80, 82, 83, 86, 87, 95, 97, 98, 99]","[45, 20, 25, 65, 97, 59, 43, 5, 62, 53, 2, 29, 76, 99, 78, 94, 22, 8, 15, 12, 50, 32, 75, 26, 73, 56, 41, 11, 18, 57, 51, 48, 72, 64, 66, 33, 21, 54, 9, 34, 30, 71, 0, 42, 39, 23, 3, 24, 89, 28, 96, 69, 88, 60, 98, 1, 46, 14, 67, 37, 49, 81, 36, 84, 68, 19, 83, 10, 63, 40, 79, 91, 90, 6, 86, 35, 85, 93]","['(80,64)', '(35,66)', '(80,7)', '(94,36)', '(87,91)', '(65,98)', '(7,4)', '(71,63)', '(99,98)', '(33,85)', '(71,93)', '(73,23)', '(0,22)', '(25,85)', '(81,37)', '(3,38)', '(42,16)', '(6,20)', '(26,92)', '(46,45)', '(30,95)', '(60,24)', '(87,68)', '(39,95)', '(13,91)', '(8,98)', '(6,40)', '(71,17)', '(36,61)', '(45,35)', '(31,66)', '(0,75)', '(33,65)', '(0,55)', '(25,95)', '(62,35)', '(67,63)', '(73,96)', '(56,48)', '(54,35)', '(1,33)', '(27,26)', '(78,46)', '(68,82)']","[0, 0, 0, 0, 1]"
18,"[3, 5, 9, 12, 14, 15, 16, 89, 23, 4, 57, 14, 36, 86, 83, 91, 17, 88, 70, 90, 87, 25, 16, 26, 63, 98, 78, 19, 23, 27, 28, 31, 32, 34, 36, 39, 40, 43, 46, 47, 48, 51, 54, 55, 57, 58, 59, 60, 64, 68, 69, 71, 73, 74, 75, 77, 80, 82, 84, 86, 87, 88, 90, 93, 95, 97, 99]","[9, 53]","['(71,71)', '(68,81)', '(55,62)', '(25,25)', '(7,10)', '(44,70)', '(90,40)', '(62,5)']","[1, 0, 1, 0, 0]"
19,"[2, 3, 6, 8, 9, 11, 15, 16, 69, 53, 57, 98, 18, 96, 85, 82, 99, 13, 51, 60, 9, 70, 81, 75, 20, 27, 56, 94, 19, 19, 90, 73, 55, 62, 12, 64, 91, 50, 88, 63, 47, 0, 74, 39, 32, 4, 46, 58, 29, 72, 66, 43, 65, 45, 42, 17, 24, 93, 79, 28, 95, 30, 84, 7, 36, 77, 67, 6, 1, 59, 37, 89, 80, 11, 31, 8, 25, 5, 38, 14, 48, 26, 49, 33, 54, 61, 97, 52, 23, 24, 26, 29, 32, 34, 35, 36, 39, 40, 43, 44, 45, 46, 47, 53, 54, 57, 59, 60, 61, 64, 68, 71, 74, 75, 77, 78, 80, 82, 84, 87, 88, 95, 97, 99]","[27, 44, 73, 71, 87, 70, 7, 40, 74, 41, 78, 32, 55, 97, 51, 62, 34, 67, 15, 72, 48, 77, 10, 53, 20, 39, 94, 2, 23, 91, 54, 92, 3, 65, 6, 76, 59, 19, 47, 46, 29, 11, 0, 16, 69, 31, 96, 4, 18, 24, 33, 30, 98, 12, 80, 21, 68, 50, 45]","['(37,96)', '(100,92)', '(71,23)', '(84,43)', '(98,37)', '(59,23)', '(28,75)', '(77,97)', '(5,85)', '(15,88)', '(29,26)', '(75,77)', '(75,22)', '(32,30)', '(51,97)', '(88,55)', '(21,84)', '(67,82)', '(16,42)', '(72,52)', '(7,9)', '(53,68)']","[1, 1, 1, 1, 1]"
20,"[3, 6, 8, 15, 19, 59, 87, 50, 90, 24, 44, 38, 36, 10, 23, 78, 69, 21, 23, 27, 28, 29, 32, 33, 35, 36, 39, 45, 46, 47, 50, 54, 55, 57, 59, 60, 66, 68, 71, 80, 82, 86, 87, 89, 95, 99]","[56, 76, 31, 62, 81, 18, 40, 95]",[],"[0, 0, 1, 0, 1]"
21,"[3, 6, 9, 14, 15, 0, 87, 77, 60, 85, 65, 10, 56, 26, 39, 95, 80, 15, 31, 71, 48, 27, 6, 46, 42, 58, 61, 43, 45, 96, 62, 20, 44, 41, 8, 93, 69, 99, 53, 52, 28, 55, 32, 50, 90, 91, 2, 70, 89, 25, 37, 51, 97, 5, 29, 21, 21, 36, 79, 75, 22, 23, 25, 27, 29, 31, 32, 33, 35, 36, 37, 39, 40, 42, 43, 45, 47, 51, 54, 55, 57, 58, 60, 63, 64, 65, 66, 68, 71, 76, 80, 82, 84, 87, 88, 89, 97, 98, 99]","[47, 23, 37, 20, 1, 6, 60, 98, 70, 77, 46, 62, 35, 61, 32, 83]","['(21,72)', '(17,60)', '(77,82)', '(49,69)', '(57,23)', '(55,3)', '(35,81)', '(6,16)', '(10,41)', '(95,97)', '(42,76)', '(47,65)', '(21,49)', '(83,19)', '(52,83)', '(82,70)', '(23,26)', '(59,85)', '(17,33)', '(77,61)', '(67,67)', '(70,71)', '(84,77)', '(34,72)', '(92,83)', '(5,7)', '(20,6)', '(45,27)', '(36,82)', '(88,20)', '(62,71)', '(38,66)', '(72,97)', '(91,79)', '(95,45)', '(82,55)', '(29,1)', '(65,9)', '(21,13)', '(60,38)', '(7,68)', '(40,88)', '(28,20)', '(99,58)', '(70,74)', '(8,76)', '(21,24)', '(16,38)', '(95,29)', '(87,38)', '(73,11)', '(8,75)', '(18,23)', '(19,85)', '(22,61)', '(57,40)', '(11,25)', '(22,5)', '(6,62)', '(93,91)', '(98,86)', '(0,66)', '(94,5)', '(54,44)', '(86,61)']","[1, 1, 0, 0, 1]"
22,"[3, 6, 7, 8, 9, 11, 14, 15, 16, 45, 12, 82, 4, 90, 52, 10, 85, 56, 79, 74, 64, 51, 8, 2, 88, 62, 1, 26, 49, 6, 57, 35, 21, 14, 41, 61, 30, 38, 54, 43, 16, 37, 50, 66, 65, 68, 47, 5, 80, 0, 75, 23, 25, 26, 27, 28, 29, 32, 34, 36, 37, 39, 40, 43, 45, 47, 50, 51, 54, 56, 57, 58, 59, 60, 61, 64, 66, 68, 69, 71, 77, 78, 79, 80, 82, 85, 87, 88, 91, 95, 97, 98, 99]","[76, 34, 20, 88, 9, 90, 65, 95, 41, 54, 35, 77, 46, 14, 37, 63, 69, 31, 93, 68, 85, 24, 74, 16, 67, 15, 27, 55, 94, 0, 92, 21, 58, 82, 44, 49, 62, 79, 51, 70, 32, 13, 84, 86, 19, 60, 22, 71, 80, 6, 25, 75, 59, 36, 50, 8, 40, 42, 83, 30, 66, 89, 1, 61, 17, 64, 56, 28, 96, 43, 33, 91, 38, 12, 99, 11, 10, 97, 45, 98, 5, 18, 87, 48, 78, 81, 72, 2, 47, 4, 73, 57, 39, 26, 53, 29, 52]","['(47,55)', '(26,26)', '(15,21)', '(53,61)', '(87,36)', '(21,17)', '(3,14)', '(25,46)', '(62,68)', '(9,55)', '(33,82)', '(78,61)']","[0, 0, 0, 1, 1]"
23,"[1, 3, 5, 6, 8, 13, 14, 15, 18, 20, 22, 85, 1, 88, 10, 81, 6, 9, 36, 3, 40, 73, 49, 80, 27, 97, 16, 58, 46, 74, 71, 75, 98, 24, 23, 23, 90, 2, 37, 72, 70, 77, 60, 45, 19, 47, 50, 69, 65, 57, 41, 28, 25, 76, 12, 48, 95, 62, 55, 30, 21, 92, 35, 83, 51, 34, 52, 68, 15, 84, 18, 94, 13, 59, 91, 86, 26, 14, 64, 67, 17, 44, 38, 82, 89, 61, 20, 54, 11, 29, 66, 56, 5, 8, 4, 31, 0, 78, 96, 39, 93, 87, 24, 25, 26, 27, 28, 29, 31, 33, 35, 36, 39, 43, 46, 47, 48, 50, 54, 56, 57, 58, 59, 60, 62, 65, 66, 68, 74, 75, 77, 78, 80, 82, 83, 85, 89, 95, 97, 98, 99]","[55, 35, 32, 83, 33, 50, 54, 58, 13, 95, 43, 11, 44, 70, 9, 92, 62, 98, 16, 68, 0, 46, 53, 14, 37, 40, 17, 15, 63, 88, 89, 64, 97, 4, 6, 49, 99, 47, 22, 94, 76, 87, 71, 52, 90, 81, 24, 29, 66, 45, 79, 65, 19, 10, 39, 60, 30, 1, 5, 96, 38, 86, 41, 91, 34, 69, 21, 3, 51, 8, 82, 48, 85, 93, 26, 77, 7, 27, 56, 28, 42, 20, 80, 57, 67, 61, 18, 12, 78, 75, 84, 36, 72]","['(31,41)', '(54,32)', '(20,17)', '(27,52)', '(36,3)', '(44,0)', '(49,16)', '(5,25)', '(89,18)', '(80,24)', '(80,7)', '(99,97)', '(69,22)', '(21,49)', '(75,37)', '(25,68)', '(0,18)', '(87,89)', '(55,30)', '(43,83)', '(44,48)', '(0,51)', '(87,45)', '(0,96)', '(35,8)', '(85,97)', '(30,1)', '(89,51)', '(84,2)', '(0,29)', '(26,29)', '(81,33)', '(39,20)', '(8,79)', '(2,5)', '(7,11)', '(61,55)', '(17,6)', '(1,98)', '(71,47)', '(83,72)', '(49,95)', '(43,80)', '(55,63)', '(92,1)', '(83,32)', '(78,91)', '(56,41)', '(0,75)', '(17,96)', '(33,65)', '(51,26)', '(79,9)', '(59,32)', '(76,9)', '(48,52)', '(94,0)', '(9,100)', '(42,5)', '(75,76)', '(85,81)', '(96,42)', '(18,33)', '(46,92)', '(79,34)', '(2,97)', '(24,71)', '(47,21)', '(34,66)', '(1,86)', '(72,36)', '(5,8)', '(42,88)', '(81,54)']","[1, 1, 1, 0, 0]"
24,"[1, 2, 3, 4, 6, 7, 8, 14, 15, 19, 20, 23, 67, 39, 23, 84, 19, 44, 55, 25, 27, 28, 29, 32, 36, 37, 39, 40, 45, 46, 47, 48, 50, 51, 53, 55, 57, 58, 59, 64, 65, 68, 70, 71, 74, 75, 76, 78, 80, 82, 86, 91, 93, 97, 98, 99]","[9, 35, 2, 76, 3, 97, 13, 95, 58, 65, 72, 39, 61, 20, 25, 40, 41, 53, 48, 83, 75, 31, 34, 19, 73, 69, 68, 84, 81, 52, 59, 18, 63, 93, 46, 51, 4, 10, 22, 60, 42, 77, 15, 86, 45, 94, 64, 26, 6, 49]","['(3,5)', '(57,85)', '(87,21)', '(82,71)', '(33,15)', '(91,8)', '(39,60)', '(91,80)', '(44,31)', '(57,53)', '(73,48)', '(38,20)', '(42,21)', '(95,64)', '(37,88)', '(18,86)', '(84,91)', '(41,15)', '(83,64)', '(84,47)', '(95,36)', '(73,7)', '(50,96)', '(76,18)', '(93,71)', '(54,61)', '(71,76)', '(30,37)', '(6,25)', '(50,54)', '(8,78)', '(33,12)', '(20,52)', '(89,100)', '(27,76)', '(57,55)', '(75,67)', '(16,100)', '(14,34)', '(57,40)', '(73,35)', '(39,78)', '(59,18)', '(24,50)', '(87,74)']","[1, 0, 0, 0, 1]"
25,"[1, 3, 5, 6, 7, 8, 10, 12, 14, 15, 18, 19, 21, 23, 0, 23, 60, 65, 15, 41, 62, 21, 92, 9, 48, 93, 96, 27, 25, 25, 22, 77, 7, 63, 53, 61, 12, 57, 45, 10, 2, 28, 58, 79, 16, 38, 14, 84, 74, 11, 49, 59, 88, 78, 35, 94, 24, 86, 73, 98, 54, 70, 81, 82, 17, 3, 1, 33, 68, 4, 67, 69, 51, 64, 13, 8, 30, 31, 87, 43, 95, 80, 83, 36, 76, 5, 71, 75, 47, 26, 27, 32, 35, 36, 39, 40, 42, 43, 47, 48, 51, 52, 54, 55, 57, 59, 60, 61, 64, 68, 69, 71, 73, 75, 76, 77, 78, 80, 82, 83, 85, 89, 93, 95, 97, 98, 99]","[74, 16, 42, 55, 89, 10, 21, 28, 4, 12, 56, 54, 51, 24, 9, 57, 75, 82, 49, 26, 60, 96, 6, 66, 32, 76, 65, 43, 80, 85, 38, 88, 18, 91, 83, 94, 36, 78, 58, 97, 8, 68, 63, 1, 52, 62, 59, 87, 67, 90, 41, 19, 33, 93, 39, 22, 73, 13, 35, 20, 29, 30, 31, 44, 61, 45, 86, 81, 11, 7, 14, 0, 98, 92, 71, 77, 46, 84, 17, 27, 64, 69, 50, 79]","['(11,33)', '(87,24)', '(83,27)', '(88,30)', '(87,14)', '(78,83)', '(46,59)', '(20,45)', '(50,90)', '(67,45)', '(72,59)', '(62,84)', '(34,62)', '(14,94)', '(89,53)', '(67,37)', '(24,79)', '(74,64)', '(14,98)', '(1,32)', '(79,19)', '(21,76)', '(78,63)', '(64,46)', '(71,12)', '(20,83)', '(53,24)', '(57,70)', '(98,9)', '(51,28)', '(5,67)', '(37,69)', '(34,86)', '(11,25)', '(42,86)', '(8,42)', '(51,39)']","[1, 0, 0, 0, 1]"
26,"[3, 6, 10, 15, 18, 19, 21, 22, 23, 11, 84, 6, 69, 46, 76, 51, 8, 64, 1, 52, 31, 53, 19, 30, 23, 33, 85, 9, 49, 25, 42, 13, 12, 4, 67, 94, 99, 57, 48, 95, 80, 62, 32, 45, 36, 40, 22, 44, 61, 38, 60, 58, 27, 29, 32, 36, 37, 39, 43, 45, 46, 47, 48, 49, 51, 54, 55, 57, 58, 59, 60, 65, 66, 68, 69, 71, 73, 78, 80, 82, 83, 86, 88, 90, 93, 97, 98, 99]","[12, 6, 48, 55, 17, 85, 25, 52, 46, 95, 36, 11, 23, 44, 79, 91, 8, 37, 43, 26, 53, 29, 28, 20, 98, 89, 84]","['(73,4)', '(60,16)', '(6,81)', '(47,10)', '(41,13)', '(86,37)', '(6,93)', '(64,33)', '(58,72)', '(76,5)', '(64,78)', '(29,13)', '(3,3)', '(82,28)', '(3,50)', '(15,52)', '(84,15)', '(56,21)', '(98,24)', '(41,35)', '(3,56)', '(48,94)', '(32,66)', '(64,58)', '(39,96)', '(36,18)', '(67,76)', '(11,23)', '(8,47)', '(23,31)', '(14,87)', '(35,37)', '(96,37)', '(23,63)', '(63,52)', '(69,96)', '(97,34)', '(92,16)', '(78,91)', '(40,12)', '(0,89)', '(28,15)', '(12,75)', '(13,55)', '(19,48)', '(80,15)', '(94,26)', '(41,63)', '(7,67)', '(63,46)', '(32,34)', '(37,69)', '(70,17)', '(95,33)', '(40,96)', '(60,17)', '(67,40)', '(57,57)', '(13,72)', '(53,72)', '(89,49)', '(47,70)', '(30,11)', '(95,52)']","[0, 0, 0, 0, 1]"
27,"[0, 1, 3, 4, 6, 8, 14, 19, 21, 23, 25, 54, 29, 20, 50, 3, 4, 18, 93, 94, 45, 7, 48, 57, 12, 5, 9, 35, 55, 65, 90, 38, 6, 64, 11, 97, 67, 74, 30, 24, 61, 98, 70, 33, 27, 27, 23, 44, 85, 63, 31, 26, 62, 15, 88, 78, 82, 69, 77, 73, 16, 17, 60, 86, 71, 49, 84, 52, 2, 92, 47, 80, 83, 8, 21, 14, 96, 87, 40, 89, 56, 46, 22, 13, 59, 36, 0, 79, 37, 10, 68, 25, 39, 41, 1, 28, 29, 31, 32, 34, 36, 37, 39, 40, 42, 43, 45, 46, 47, 48, 50, 52, 54, 57, 58, 59, 60, 61, 65, 67, 68, 71, 73, 74, 75, 80, 82, 85, 87, 95, 97, 98, 99]","[41, 47, 6, 70, 12, 75, 55, 29, 16, 99, 30, 31, 88, 23, 35, 67, 38, 49, 62, 45, 97, 39, 11, 46, 65, 9, 85, 81, 91, 77, 8, 34, 74, 76, 37, 96, 14, 93, 92, 2, 87, 80, 42, 22, 44, 25, 5, 27, 98, 56, 50, 33, 36, 57, 61, 84, 15, 60, 4, 13, 79, 59, 26, 72, 10, 83, 68, 28, 1]","['(44,37)', '(7,99)', '(30,62)', '(94,21)', '(2,87)', '(70,82)', '(90,33)', '(71,27)', '(96,58)', '(81,81)', '(87,0)', '(29,22)', '(37,57)', '(5,81)', '(4,7)', '(22,73)']","[0, 1, 0, 0, 1]"
